region,age,ageCount,classification
Yorkshire and The Humber,0,55940,Rural
Yorkshire and The Humber,1,58785,Rural
Yorkshire and The Humber,2,60182,Rural
Yorkshire and The Humber,3,60562,Rural
Yorkshire and The Humber,4,63088,Rural
Yorkshire and The Humber,5,63961,Rural
Yorkshire and The Humber,6,63388,Rural
Yorkshire and The Humber,7,64171,Rural
Yorkshire and The Humber,8,66979,Rural
Yorkshire and The Humber,9,67604,Rural
Yorkshire and The Humber,10,67544,Rural
Yorkshire and The Humber,11,67247,Rural
Yorkshire and The Humber,12,67090,Rural
Yorkshire and The Humber,13,66153,Rural
Yorkshire and The Humber,14,64601,Rural
Yorkshire and The Humber,15,63180,Rural
Yorkshire and The Humber,16,63986,Rural
Yorkshire and The Humber,17,63187,Rural
Yorkshire and The Humber,18,63794,Rural
Yorkshire and The Humber,19,68829,Rural
Yorkshire and The Humber,20,68495,Rural
Yorkshire and The Humber,21,71265,Rural
Yorkshire and The Humber,22,70033,Rural
Yorkshire and The Humber,23,69317,Rural
Yorkshire and The Humber,24,68656,Rural
Yorkshire and The Humber,25,67607,Rural
Yorkshire and The Humber,26,68541,Rural
Yorkshire and The Humber,27,69992,Rural
Yorkshire and The Humber,28,71573,Rural
Yorkshire and The Humber,29,73176,Rural
Yorkshire and The Humber,30,74979,Rural
Yorkshire and The Humber,31,72691,Rural
Yorkshire and The Humber,32,72959,Rural
Yorkshire and The Humber,33,74032,Rural
Yorkshire and The Humber,34,72682,Rural
Yorkshire and The Humber,35,71881,Rural
Yorkshire and The Humber,36,71011,Rural
Yorkshire and The Humber,37,69551,Rural
Yorkshire and The Humber,38,68307,Rural
Yorkshire and The Humber,39,69075,Rural
Yorkshire and The Humber,40,69885,Rural
Yorkshire and The Humber,41,68698,Rural
Yorkshire and The Humber,42,64423,Rural
Yorkshire and The Humber,43,60168,Rural
Yorkshire and The Humber,44,60579,Rural
Yorkshire and The Humber,45,62679,Rural
Yorkshire and The Humber,46,63832,Rural
Yorkshire and The Humber,47,66395,Rural
Yorkshire and The Humber,48,70422,Rural
Yorkshire and The Humber,49,74645,Rural
Yorkshire and The Humber,50,76467,Rural
Yorkshire and The Humber,51,75113,Rural
Yorkshire and The Humber,52,76717,Rural
Yorkshire and The Humber,53,76345,Rural
Yorkshire and The Humber,54,75962,Rural
Yorkshire and The Humber,55,76124,Rural
Yorkshire and The Humber,56,76562,Rural
Yorkshire and The Humber,57,75076,Rural
Yorkshire and The Humber,58,74295,Rural
Yorkshire and The Humber,59,71847,Rural
Yorkshire and The Humber,60,69691,Rural
Yorkshire and The Humber,61,66606,Rural
Yorkshire and The Humber,62,65486,Rural
Yorkshire and The Humber,63,64515,Rural
Yorkshire and The Humber,64,61161,Rural
Yorkshire and The Humber,65,58731,Rural
Yorkshire and The Humber,66,56251,Rural
Yorkshire and The Humber,67,57284,Rural
Yorkshire and The Humber,68,54784,Rural
Yorkshire and The Humber,69,53659,Rural
Yorkshire and The Humber,70,54192,Rural
Yorkshire and The Humber,71,54739,Rural
Yorkshire and The Humber,72,55511,Rural
Yorkshire and The Humber,73,60697,Rural
Yorkshire and The Humber,74,59310,Rural
Yorkshire and The Humber,75,43474,Rural
Yorkshire and The Humber,76,46344,Rural
Yorkshire and The Humber,77,41062,Rural
Yorkshire and The Humber,78,38091,Rural
Yorkshire and The Humber,79,32157,Rural
Yorkshire and The Humber,80,30342,Rural
Yorkshire and The Humber,81,30950,Rural
Yorkshire and The Humber,82,29095,Rural
Yorkshire and The Humber,83,27259,Rural
Yorkshire and The Humber,84,24840,Rural
Yorkshire and The Humber,85,21991,Rural
Yorkshire and The Humber,86,19369,Rural
Yorkshire and The Humber,87,17124,Rural
Yorkshire and The Humber,88,14798,Rural
Yorkshire and The Humber,89,12552,Rural
Yorkshire and The Humber,90,10871,Rural
Yorkshire and The Humber,91,8835,Rural
Yorkshire and The Humber,92,6962,Rural
Yorkshire and The Humber,93,5402,Rural
Yorkshire and The Humber,94,4162,Rural
Yorkshire and The Humber,95,3081,Rural
Yorkshire and The Humber,96,2257,Rural
Yorkshire and The Humber,97,1666,Rural
Yorkshire and The Humber,98,1139,Rural
Yorkshire and The Humber,99,786,Rural
Yorkshire and The Humber,100,1220,Rural
